list/name,list/score,price,
ROG PG42UQ,5909,9999,4K 138Hz
LG 42C2,5862,8999,4K 120Hz
外星人AW3423DW,5848,12999,准4K 175Hz
飞利浦27B1U7903,5833,6999,4K 60Hz HDR1400
LG 27EP950,5827,30000,4K 60Hz
飞利浦27E1N8900,5822,5999,4K 60Hz
LG 27GP95R,5822,4999,4K 160Hz HDR600
LG 27GN950,5818,8800,4K 160Hz HDR600
KTC M27P20,5809,4199,4K 144Hz
HKC PG27P5U,5806,7999,4K 144Hz
外星人 AW2721D,5788,7499,2K 240Hz
ROG XG349C,5775,6999,2K 180Hz
戴尔G3223Q,5772,7299,4K 144Hz HDR600
LG 32GQ950,5763,9999,4K 160Hz
联想Qreator27,5755,3469,4K 60Hz
LG 27GP950,5748,13998,4K 160Hz
ROG PG279QM,5746,6999,2K 240Hz
华硕PG32UQ,5735,6999,4K 144Hz
LG 34GP950G,5734,7999,准4K 180Hz HDR600
明基EX2710U,5729,,
外星人AW2723DF,5706,,
微星PS341WU,5705,,
三星 C27G75TQSC,5698,,
华硕 XG27AQ,5696,,
微星MPG321UR,5680,,
LG 27GP850,5678,,
优派XG320U,5673,,
联想 Y25-25,5668,,
戴尔U2723Q,5663,,
华硕 PG259QN,5661,,
雷蛇战鹰RZ39-0350,5653,,
戴尔U3223Q,5652,,
AOC U28G2X,5634,,
微星 PAG272QR,5630,,
LG 27UP850,5626,,
明基EX3210U,5612,,
戴尔U2720Q,5600,,
戴尔 S2721DGF,5594,,
小米27英寸4K,5589,,
联想Y25-30,5571,,
技嘉 G27Q,5566,,
飞利浦 345M2R,5554,,
三星S28AG700NC,5547,,
微星MAG301RF,5545,,
飞利浦 279C9,5513,,
微星 MAG251RX,5506,,
LG 27GN800,5489,,
爱国者 E24SA,5437,,
华硕PG32UQX,4892,,
三星S32BG850NU,4832,,
ROG XG27AQM,4817,,
技嘉M27Q,4817,,
MacBook Pro16,4814,,
KTC G42P5,4814,,
飞利浦 558M1RY,4808,,
LG 32GQ850,4786,,
微星MEG381CQR PLUS,4784,,
华硕 PG329Q,4774,,
飞利浦279M1RV,4773,,
小米27英寸165Hz,4767,,
微星NXG253R,4766,,
华硕 XG279Q高达版,4746,,
宏碁XB273U GS,4745,,
华硕 XG279Q,4740,,
索尼U27M90,4731,,
华为MateViewGT27,4730,,
技嘉 FI27Q-X,4728,,
LG 27GL850,4725,,
微星 MAG274QRF-QD,4724,,
戴尔S2522HG,4716,,
戴尔S2421HGF,4711,,
宏碁 VG272UP,4708,,
优派VX3220-4K-PRO,4690,,
联想Y27Q-30,4676,,
AOC Q24G2,4674,,
优派 VX3219-2K-PRO,4649,,
优派 VX2719-2K-PRO,4643,,
AOC AG273QXP,4641,,
AOC 24G2,4637,,
优派VX2480-HD-PRO-3,4634,,
戴尔U2722DX,4616,,
优派 VX3418-2K-PRO,4606,,
华硕 VG249Q,4606,,
微星 PAG272QR2,4603,,
三星C24RG50FQC,4588,,
红米27英寸,4567,,
联想 P27h-20,4548,,
